id;sifra_postupka;sifra_ponude;broj_partije;naziv_proizvodjaca;zasticeni_naziv;ponudjana_kolicina;ponudjena_vrijednost;jedinicna_cijena;rok_isporuke;sifra_ponudjaca;selected
1;77033;65484;74446;withdrawal Fully-configurable;Group;74113;10173;10266;73722;26205;true
2;18898;37060;58831;up EXE relationships;Right-sized;67434;95544;5224;80144;59572;true
3;67320;12707;86378;Optional Soft;Madagascar;16838;34250;1023;69781;23226;true
4;86199;26863;76962;cyan JBOD deposit;initiatives;91004;18209;69366;28397;68309;true
5;44985;89880;85788;syndicate Central Generic;South;59400;78399;38015;26119;32516;false
6;85898;47042;57921;magnetic Tuna;Dakota Bedfordshire unleash;15504;67744;79413;48515;14238;false
7;22429;67169;52167;Administrator;Monaco COM Designer;59096;58274;52930;5416;40373;false
8;11108;81950;81290;drive;Chair turquoise Chile;11746;59123;37966;92813;55957;false
9;19512;47237;1216;disintermediate El;Gorgeous;12281;59516;78710;94050;96256;true
10;14885;4914;15331;Web aggregate Garden;Metal Incredible Cambridgeshire;31175;79435;65008;71319;73131;false
