id;naziv_ponudjaca;odgovorno_lice;adresa_ponudjaca
1;Generic;neural Pa'anga Cotton;repurpose
2;withdrawal;Iraqi;virtual
3;Directives Handmade;bypassing users Uganda;tan
4;24/7 Clothing;Utah;Health
5;GB invoice;Legacy even-keeled Senior;copying applications
6;protocol compressing Meadows;pink Cheese;Berkshire
7;Tasty structure;Home silver indexing;Paradigm cross-platform
8;Forward approach;quantify e-business Borders;Technician Balboa
9;Steel Jewelery innovate;Camp SQL;invoice
10;reboot Handmade;Orchestrator Pre-emptive;feed Uruguayo
